% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2025
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2025 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2025, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
198503	  0.00720014	  0.00670880	  0.03405048	
198504	  0.00901303	  0.02816703	  0.03553141	
198505	 -0.00013452	  0.02244757	 -0.00844015	
198506	 -0.00484939	 -0.00175553	  0.00562177	
198507	 -0.01871951	  0.02260707	 -0.01180150	
198508	  0.02621661	  0.03407842	  0.02611030	
198509	 -0.02130767	 -0.00799510	  0.01286013	
198510	 -0.01880363	 -0.01414660	  0.04678209	
198511	 -0.00212306	  0.02468008	  0.00528381	
198512	 -0.01957930	  0.00155745	 -0.02039082	
198601	 -0.06592524	 -0.04325419	  0.01431808	
198602	 -0.00938557	  0.01854145	  0.00243202	
198603	  0.00790680	  0.04488095	  0.04043431	
198604	  0.02936804	  0.02434735	 -0.00824375	
198605	  0.00463478	  0.01912123	  0.01746769	
198606	 -0.06951066	 -0.06428337	  0.05209829	
198607	 -0.00237085	  0.01694161	 -0.00953660	
198608	 -0.02734152	  0.01327046	 -0.02342888	
198609	 -0.00467005	 -0.02488018	  0.04162510	
198610	  0.03981759	  0.06280832	  0.01202620	
198611	  0.01677911	  0.02381070	 -0.03058675	
198612	  0.01125900	  0.03543939	 -0.00535338	
198701	 -0.02911564	 -0.00865155	 -0.07048133	
198702	  0.00529232	  0.02440038	 -0.02557195	
198703	 -0.02342583	  0.01736261	 -0.00561796	
198704	 -0.12648759	 -0.10958961	 -0.02438669	
198705	  0.00277618	  0.02810016	  0.00726190	
198706	  0.00755713	  0.05751319	  0.01543611	
198707	  0.01890020	 -0.02512554	  0.02398888	
198708	  0.00082182	  0.01241978	 -0.02999547	
198709	 -0.04093002	 -0.05472642	  0.01534270	
198710	 -0.46169417	 -0.39474466	  0.01676061	
198711	 -0.02580478	 -0.08326671	 -0.00868214	
198712	 -0.10552490	 -0.02467329	  0.00668359	
198801	 -0.11084856	 -0.07796180	  0.04206837	
198802	 -0.03346945	  0.06059561	  0.00247786	
198803	 -0.03026995	  0.02801820	 -0.02090480	
198804	  0.00880462	  0.02874981	 -0.02141079	
198805	 -0.06878537	 -0.00120563	 -0.01060843	
198806	  0.00663280	  0.01770456	 -0.01002156	
198807	  0.01719523	  0.03318242	 -0.01293205	
198808	 -0.02463327	  0.02717790	  0.03227775	
198809	 -0.02331615	  0.00034134	  0.01381571	
198810	 -0.04239610	  0.00325246	  0.02442312	
198811	 -0.06796251	 -0.00979093	  0.00382416	
198812	 -0.02451366	  0.00091409	 -0.04450392	
198901	  0.01841251	  0.07455944	 -0.00576786	
198902	 -0.00261042	  0.01388458	 -0.00210380	
198903	  0.00049263	  0.00652014	 -0.01066712	
198904	 -0.02148434	 -0.00349584	 -0.01692185	
198905	  0.04336612	  0.04761388	 -0.04002686	
198906	 -0.00150128	  0.00195632	  0.07760897	
198907	  0.01777779	  0.02403404	  0.03296662	
198908	 -0.08467307	 -0.05310543	  0.00435347	
198909	  0.02820585	  0.01484912	 -0.04468798	
198910	 -0.15736335	 -0.11141897	  0.02538577	
198911	 -0.00973287	  0.01214795	 -0.02472614	
198912	 -0.02133141	  0.01042408	  0.02146244	
199001	 -0.02308625	 -0.00582111	 -0.05490276	
199002	 -0.00493503	  0.02582296	 -0.04366024	
199003	 -0.02227662	  0.03553753	 -0.01047738	
199004	  0.00903189	  0.00841991	  0.05493463	
199005	  0.01200079	  0.01104623	  0.00385441	
199006	  0.00178130	 -0.00379657	  0.03937438	
199007	 -0.02635509	 -0.01649034	  0.05012009	
199008	  0.02431449	  0.00220998	  0.05460016	
199009	 -0.01567902	  0.05742383	  0.03800788	
199010	  0.05201230	  0.04930672	  0.01678617	
199011	  0.02328538	  0.00857068	  0.00433790	
199012	 -0.05090714	 -0.02626434	 -0.01977452	
199101	  0.03895870	  0.02406355	 -0.09666328	
199102	 -0.02117392	 -0.03698305	 -0.01971310	
199103	 -0.02611882	 -0.02691389	 -0.00658552	
199104	  0.00646248	  0.04334754	  0.01680051	
199105	 -0.00497130	  0.00099001	 -0.01010905	
199106	  0.04170888	  0.04940591	  0.02941998	
199107	 -0.00135246	  0.00423715	  0.01245250	
199108	 -0.01695278	 -0.02171223	 -0.01616565	
199109	 -0.01442613	  0.01562950	  0.01128677	
199110	 -0.02169486	  0.02023036	  0.01980389	
199111	  0.02616296	 -0.00284921	  0.04221521	
